idsuperheroe;idcivil
331;51
74;156
146;140
482;159
191;133
348;144
339;190
166;63
57;175
383;179
331;52
186;148
333;162
329;93
66;110
128;66
73;10
283;171
95;84
170;187
437;61
138;104
367;78
171;75
19;169
491;80
359;5
485;129
494;185
297;53
491;117
324;173
418;133
233;41
104;28
368;25
248;159
191;54
63;102
36;84
262;125
494;134
35;195
458;63
164;110
447;64
423;129
431;57
282;106
180;48
64;122
133;98
150;197
130;10
430;198
291;99
417;178
139;130
215;11
488;152
305;81
201;196
377;111
7;160
29;191
205;23
205;188
143;178
28;190
49;181
7;80
58;181
314;185
356;82
151;19
434;44
20;140
411;41
490;28
391;185
447;144
366;59
78;146
84;30
277;55
463;1
341;6
260;12
366;184
445;141
293;60
34;19
206;170
236;11
498;114
103;194
45;112
246;193
453;128
158;2
206;53
35;172
227;76
485;163
12;176
126;161
160;130
72;0
176;63
367;76
440;28
195;78
99;93
416;100
12;21
21;96
240;36
146;94
224;184
461;67
401;44
499;93
21;11
363;110
226;168
87;67
398;128
373;89
121;6
417;115
301;28
77;171
398;86
365;6
163;179
58;82
113;164
340;57
351;152
302;133
369;13
18;120
314;77
316;142
77;56
63;52
89;185
485;152
211;186
470;29
234;128
478;71
338;194
197;23
82;152
291;22
363;127
129;33
98;45
384;89
234;175
390;147
420;110
451;10
261;5
157;167
266;65
151;158
335;101
79;130
87;105
136;190
228;103
423;68
67;130
197;184
165;58
439;65
169;104
418;163
83;9
56;55
45;10
34;147
423;62
217;169
204;49
270;80
257;68
264;6
273;45
428;174
487;93
187;145
451;63
434;69
469;7
307;139
139;41
273;125
