iddesignacion;desde;hasta;idtipodesignacion;nroplaca
0;1994-01-01;1997-01-01;2;801
1;1992-01-01;1997-01-01;2;889
2;1993-01-01;1997-01-01;2;398
3;1995-01-01;1997-01-01;2;188
4;1995-01-01;1998-01-01;2;35
5;1995-01-01;1998-01-01;2;32
6;1992-01-01;1998-01-01;2;823
7;1992-01-01;1996-01-01;2;296
8;1992-01-01;1997-01-01;2;670
9;1993-01-01;1996-01-01;2;973
10;1994-01-01;1996-01-01;2;175
11;1993-01-01;1997-01-01;2;118
12;1995-01-01;1998-01-01;2;221
13;1994-01-01;1996-01-01;2;805
14;1991-01-01;1997-01-01;2;697
15;1995-01-01;1999-01-01;2;940
16;1995-01-01;1996-01-01;2;908
17;1991-01-01;1999-01-01;2;332
18;1992-01-01;1997-01-01;2;717
19;1992-01-01;1997-01-01;2;850
20;1993-01-01;1996-01-01;2;302
21;1994-01-01;1997-01-01;2;855
22;1992-01-01;1997-01-01;2;507
23;1992-01-01;1997-01-01;2;735
24;1994-01-01;1998-01-01;2;988
25;1993-01-01;1999-01-01;2;187
26;1992-01-01;1997-01-01;2;434
27;1992-01-01;1999-01-01;2;668
28;1992-01-01;1999-01-01;2;220
29;1992-01-01;1999-01-01;2;247
30;1992-01-01;1996-01-01;2;160
31;1995-01-01;1996-01-01;2;1
32;1995-01-01;1998-01-01;2;687
33;1992-01-01;1996-01-01;2;11
34;1991-01-01;1996-01-01;2;440
35;1994-01-01;1997-01-01;2;240
36;1991-01-01;1998-01-01;2;669
37;1993-01-01;1999-01-01;2;352
38;1991-01-01;1999-01-01;2;397
39;1993-01-01;1996-01-01;2;823
40;1995-01-01;1998-01-01;2;993
41;1995-01-01;1996-01-01;2;822
42;1994-01-01;1998-01-01;2;14
43;1995-01-01;1999-01-01;2;504
44;1994-01-01;1999-01-01;2;793
45;1994-01-01;1996-01-01;2;887
46;1992-01-01;1997-01-01;2;791
47;1992-01-01;1998-01-01;2;70
48;1991-01-01;1996-01-01;2;578
49;1992-01-01;1998-01-01;2;750
50;1993-01-01;1998-01-01;2;314
51;1993-01-01;1998-01-01;2;766
52;1995-01-01;1997-01-01;2;361
53;1991-01-01;1999-01-01;2;219
54;1995-01-01;1999-01-01;2;945
55;1995-01-01;1997-01-01;2;808
56;1991-01-01;1997-01-01;2;591
57;1992-01-01;1996-01-01;2;891
58;1995-01-01;1997-01-01;2;970
59;1991-01-01;1998-01-01;2;141
60;1993-01-01;1996-01-01;2;529
61;1994-01-01;1996-01-01;2;847
62;1994-01-01;1999-01-01;2;122
63;1992-01-01;1996-01-01;2;375
64;1994-01-01;1996-01-01;2;704
65;1993-01-01;1999-01-01;2;424
66;1992-01-01;1998-01-01;2;119
67;1992-01-01;1998-01-01;2;57
68;1995-01-01;1997-01-01;2;153
69;1993-01-01;1997-01-01;2;924
70;1994-01-01;1999-01-01;2;945
71;1993-01-01;1998-01-01;2;576
72;1991-01-01;1999-01-01;2;976
73;1991-01-01;1996-01-01;2;883
74;1993-01-01;1997-01-01;2;571
75;1994-01-01;1999-01-01;2;218
76;1991-01-01;1997-01-01;2;471
77;1995-01-01;1996-01-01;2;619
78;1993-01-01;1997-01-01;2;673
79;1991-01-01;1999-01-01;2;228
80;1994-01-01;1998-01-01;2;325
81;1994-01-01;1998-01-01;2;699
82;1991-01-01;1997-01-01;2;713
83;1993-01-01;1999-01-01;2;874
84;1993-01-01;1998-01-01;2;642
85;1994-01-01;1996-01-01;2;641
86;1995-01-01;1999-01-01;2;148
87;1994-01-01;1997-01-01;2;913
88;1993-01-01;1998-01-01;2;206
89;1993-01-01;1996-01-01;2;915
90;1994-01-01;1999-01-01;2;43
91;1991-01-01;1996-01-01;2;524
92;1994-01-01;1997-01-01;2;757
93;1993-01-01;1998-01-01;2;460
94;1991-01-01;1999-01-01;2;867
95;1995-01-01;1999-01-01;2;279
96;1995-01-01;1998-01-01;2;442
97;1992-01-01;1999-01-01;2;27
98;1994-01-01;1996-01-01;2;917
99;1994-01-01;1997-01-01;2;151
100;1995-01-01;1996-01-01;2;748
101;1993-01-01;1997-01-01;2;984
102;1993-01-01;1998-01-01;2;319
103;1991-01-01;1999-01-01;2;791
104;1993-01-01;1999-01-01;2;529
105;1995-01-01;1999-01-01;2;77
106;1994-01-01;1999-01-01;2;815
107;1995-01-01;1996-01-01;2;933
108;1994-01-01;1997-01-01;2;609
109;1992-01-01;1998-01-01;2;322
110;1992-01-01;1996-01-01;2;339
111;1993-01-01;1999-01-01;2;19
112;1992-01-01;1997-01-01;2;875
113;1995-01-01;1999-01-01;2;192
114;1991-01-01;1996-01-01;2;231
115;1995-01-01;1999-01-01;2;581
116;1994-01-01;1997-01-01;2;219
117;1991-01-01;1999-01-01;2;309
118;1994-01-01;1998-01-01;2;714
119;1993-01-01;1998-01-01;2;582
120;1994-01-01;1997-01-01;2;107
121;1991-01-01;1999-01-01;2;180
122;1991-01-01;1997-01-01;2;589
123;1992-01-01;1996-01-01;2;474
124;1992-01-01;1999-01-01;2;711
125;1994-01-01;1997-01-01;2;484
126;1991-01-01;1997-01-01;2;884
127;1991-01-01;1997-01-01;2;303
128;1993-01-01;1996-01-01;2;51
129;1993-01-01;1997-01-01;2;601
130;1991-01-01;1997-01-01;2;513
131;1993-01-01;1997-01-01;2;563
132;1993-01-01;1998-01-01;2;781
133;1994-01-01;1996-01-01;2;759
134;1992-01-01;1996-01-01;2;106
135;1995-01-01;1998-01-01;2;420
136;1993-01-01;1998-01-01;2;348
137;1991-01-01;1998-01-01;2;279
138;1995-01-01;1998-01-01;2;873
139;1995-01-01;1997-01-01;2;81
140;1991-01-01;1999-01-01;2;614
141;1993-01-01;1998-01-01;2;134
142;1993-01-01;1997-01-01;2;560
143;1995-01-01;1996-01-01;2;172
144;1992-01-01;1998-01-01;2;986
145;1992-01-01;1996-01-01;2;285
146;1992-01-01;1998-01-01;2;434
147;1992-01-01;1997-01-01;2;220
148;1994-01-01;1996-01-01;2;569
149;1992-01-01;1998-01-01;2;65
150;1993-01-01;1997-01-01;2;586
151;1992-01-01;1997-01-01;2;517
152;1995-01-01;1998-01-01;2;182
153;1995-01-01;1999-01-01;2;5
154;1995-01-01;1996-01-01;2;634
155;1991-01-01;1996-01-01;2;648
156;1993-01-01;1996-01-01;2;558
157;1993-01-01;1996-01-01;2;778
158;1992-01-01;1999-01-01;2;589
159;1994-01-01;1999-01-01;2;899
160;1995-01-01;1998-01-01;2;222
161;1995-01-01;1999-01-01;2;101
162;1995-01-01;1998-01-01;2;431
163;1992-01-01;1999-01-01;2;584
164;1992-01-01;1999-01-01;2;929
165;1991-01-01;1997-01-01;2;597
166;1991-01-01;1999-01-01;2;824
167;1993-01-01;1997-01-01;2;960
168;1992-01-01;1996-01-01;2;43
169;1993-01-01;1999-01-01;2;352
170;1994-01-01;1996-01-01;2;630
171;1992-01-01;1996-01-01;2;706
172;1995-01-01;1997-01-01;2;460
173;1992-01-01;1999-01-01;2;812
174;1992-01-01;1999-01-01;2;134
175;1994-01-01;1996-01-01;2;971
176;1995-01-01;1997-01-01;2;933
177;1993-01-01;1997-01-01;2;134
178;1991-01-01;1999-01-01;2;427
179;1992-01-01;1996-01-01;2;180
180;1995-01-01;1998-01-01;2;470
181;1991-01-01;1996-01-01;2;269
182;1994-01-01;1998-01-01;2;674
183;1993-01-01;1998-01-01;2;644
184;1995-01-01;1996-01-01;2;720
185;1991-01-01;1996-01-01;2;259
186;1991-01-01;1998-01-01;2;630
187;1991-01-01;1999-01-01;2;672
188;1995-01-01;1998-01-01;2;869
189;1994-01-01;1997-01-01;2;130
190;1994-01-01;1998-01-01;2;277
191;1992-01-01;1997-01-01;2;940
192;1995-01-01;1997-01-01;2;572
193;1994-01-01;1998-01-01;2;968
194;1992-01-01;1996-01-01;2;74
195;1993-01-01;1998-01-01;2;416
196;1993-01-01;1998-01-01;2;764
197;1993-01-01;1999-01-01;2;137
198;1992-01-01;1996-01-01;2;924
199;1995-01-01;1996-01-01;2;408
200;1993-01-01;1996-01-01;2;694
201;1995-01-01;1999-01-01;2;965
202;1993-01-01;1996-01-01;2;593
203;1995-01-01;1996-01-01;2;823
204;1994-01-01;1998-01-01;2;243
205;1993-01-01;1998-01-01;2;947
206;1995-01-01;1996-01-01;2;189
207;1993-01-01;1998-01-01;2;215
208;1995-01-01;1997-01-01;2;166
209;1994-01-01;1996-01-01;2;551
210;1995-01-01;1999-01-01;2;979
211;1993-01-01;1996-01-01;2;835
212;1991-01-01;1998-01-01;2;706
213;1993-01-01;1998-01-01;2;103
214;1994-01-01;1996-01-01;2;881
215;1991-01-01;1998-01-01;2;730
216;1993-01-01;1998-01-01;2;213
217;1993-01-01;1996-01-01;2;60
218;1992-01-01;1999-01-01;2;952
219;1992-01-01;1997-01-01;2;925
220;1994-01-01;1999-01-01;2;599
221;1995-01-01;1997-01-01;2;406
222;1994-01-01;1996-01-01;2;940
223;1993-01-01;1999-01-01;2;822
224;1994-01-01;1996-01-01;2;900
225;1995-01-01;1999-01-01;2;674
226;1992-01-01;1996-01-01;2;916
227;1994-01-01;1996-01-01;2;25
228;1995-01-01;1999-01-01;2;4
229;1992-01-01;1996-01-01;2;29
230;1991-01-01;1999-01-01;2;244
231;1993-01-01;1996-01-01;2;286
232;1995-01-01;1998-01-01;2;970
233;1991-01-01;1997-01-01;2;428
234;1992-01-01;1998-01-01;2;859
235;1995-01-01;1996-01-01;2;939
236;1992-01-01;1998-01-01;2;807
237;1993-01-01;1998-01-01;2;227
238;1994-01-01;1996-01-01;2;503
239;1991-01-01;1997-01-01;2;809
240;1995-01-01;1998-01-01;2;199
241;1992-01-01;1997-01-01;2;947
242;1992-01-01;1996-01-01;2;493
243;1992-01-01;1997-01-01;2;460
244;1992-01-01;1998-01-01;2;7
245;1994-01-01;1997-01-01;2;760
246;1991-01-01;1998-01-01;2;692
247;1993-01-01;1998-01-01;2;807
248;1993-01-01;1999-01-01;2;665
249;1993-01-01;1998-01-01;2;648
250;1994-01-01;1997-01-01;2;475
251;1995-01-01;1996-01-01;2;125
252;1993-01-01;1999-01-01;2;17
253;1991-01-01;1998-01-01;2;427
254;1993-01-01;1998-01-01;2;630
255;1993-01-01;1997-01-01;2;364
256;1991-01-01;1997-01-01;2;814
257;1993-01-01;1996-01-01;2;792
258;1995-01-01;1999-01-01;2;284
259;1991-01-01;1996-01-01;2;670
260;1991-01-01;1997-01-01;2;124
261;1994-01-01;1996-01-01;2;317
262;1994-01-01;1997-01-01;2;512
263;1995-01-01;1999-01-01;2;252
264;1993-01-01;1996-01-01;2;743
265;1992-01-01;1998-01-01;2;484
266;1991-01-01;1998-01-01;2;719
267;1994-01-01;1996-01-01;2;519
268;1995-01-01;1997-01-01;2;315
269;1993-01-01;1998-01-01;2;406
