iddomicilio;calle;altura;entrecalle1;entrecalle2;idbarrio
0;AV ALBARELLOS       ;3960;AV ALMAFUERTE       ;AV CANONIGO MIGUEL C;11
1;AV BOYACA           ;3226;AV COSTANERA RAFAEL ;AV CALLAO           ;2
2;AV AVELLANEDA       ;827;AV DE LAS CABALLERIZ;AV DIAZ VELEZ       ;8
3;AV CHICLANA         ;4006;AV AVELLANEDA       ;AV CANONIGO MIGUEL C;14
4;AV CNL NICETO VEGA  ;1547;AV AMANCIO ALCORTA  ;AV DERQUI           ;14
5;AV CHICLANA         ;4761;AV DEL FOMENTISTA   ;AV DE MAYO          ;5
6;AV AMANCIO ALCORTA  ;1820;AV COLOMBIA         ;AV ALMAFUERTE       ;13
7;AV CHORROARIN       ;3103;AV CNL NICETO VEGA  ;AV DE LAS CABALLERIZ;9
8;AV DEL BARCO CENTENE;4388;AV COLOMBIA         ;AV DERQUI           ;13
9;AV ALMAFUERTE       ;3550;AV CNL CARDENAS     ;AV DARACT           ;4
10;AV ALVAREZ THOMAS   ;3437;AV ARGENTINA        ;AV 27 DE FEBRERO    ;4
11;AV DE LOS INMIGRANTE;987;AV DIAZ VELEZ       ;AV ASAMBLEA         ;10
12;AV BRUIX            ;772;AV ASAMBLEA         ;AV BOEDO            ;9
13;AV CABILDO          ;4099;AV 9 DE JULIO       ;AV CHORROARIN       ;12
14;AV BELISARIO ROLDAN ;4324;AV DERQUI           ;AV ALMTE BROWN      ;7
15;AV CARLOS J FINLAY  ;748;AV CASEROS          ;AV CNL ROCA         ;6
16;AV DEL CAMPO        ;4870;AV ALVAREZ JONTE    ;AV CHICLANA         ;6
17;AV DEL BARCO CENTENE;2836;AV BELISARIO ROLDAN ;AV CANONIGO MIGUEL C;8
18;AV ALVAREZ JONTE    ;3125;AV COMODORO PY      ;AV CASARES          ;11
19;AV DE LOS CORRALES  ;4531;AV BOEDO            ;AV CANONIGO MIGUEL C;10
20;AV DE LA RABIDA     ;4988;AV CORBETA URUGUAY  ;AV ALBARELLOS       ;10
21;AV DEL FOMENTISTA   ;2649;AV DE MAYO          ;AV 27 DE FEBRERO    ;10
22;AV DE LOS CORRALES  ;2401;AV CORBETA URUGUAY  ;AV DE LAS CABALLERIZ;3
23;AV COBO             ;3191;AV CDORO MARTIN RIVA;AV CHICLANA         ;7
24;AV DE LOS INMIGRANTE;1371;AV CARABOBO         ;AV ALMTE BROWN      ;13
25;AV ALVAREZ JONTE BAJ;4956;AV DERQUI           ;AV DIAZ VELEZ       ;14
26;AV ASTURIAS         ;3523;AV ALMAFUERTE       ;AV CHICLANA         ;9
27;AV COBO             ;2501;AV DE LOS INCAS     ;AV CARABOBO         ;6
28;AV CORDOBA          ;4062;AV COSTANERA INT HER;AV DEL BARCO CENTENE;9
29;AV CNL ROCA         ;4784;AV ALMAFUERTE       ;AV BOYACA           ;5
30;AV COSTANERA RAFAEL ;3637;AV ALMAFUERTE       ;AV BELISARIO ROLDAN ;13
31;AV BRUIX            ;99;AV DEL BARCO CENTENE;AV COSTANERA RAFAEL ;1
32;AV DE LA RABIDA     ;1163;AV DARACT           ;AV DE LOS INCAS     ;4
33;AV DEL FOMENTISTA   ;1061;AV BOYACA           ;AV DE LOS CONSTITUYE;11
34;AV ALVAREZ THOMAS   ;4146;AV COSTANERA RAFAEL ;AV ALBARELLOS       ;7
35;AV CANONIGO MIGUEL C;2094;AV DEL FOMENTISTA   ;AV CHORROARIN       ;11
36;AV DE LAS CABALLERIZ;361;AV BOEDO            ;AV CORDOBA          ;6
37;AV CNL DIAZ         ;2472;AV DE MAYO          ;AV DE LA RABIDA     ;1
38;AV COLOMBIA         ;1344;AV DE LOS CONSTITUYE;AV BELISARIO ROLDAN ;9
39;AV CORRIENTES       ;2729;AV ALMAFUERTE       ;AV CARLOS J FINLAY  ;1
40;AV AVELLANEDA       ;4905;AV CNL ROCA         ;AV ALVAREZ JONTE BAJ;11
41;AV DEL BARCO CENTENE;4014;AV DE LOS ITALIANOS ;AV ALMAFUERTE       ;5
42;AV BELGRANO         ;1155;AV BRUIX            ;AV BOYACA           ;14
43;AV ASAMBLEA         ;1762;AV DE LOS CORRALES  ;AV COLOMBIA         ;1
44;AV CNL NICETO VEGA  ;2056;AV DEL CAMPO        ;AV COBO             ;9
45;AV ASAMBLEA         ;1512;AV COSTANERA RAFAEL ;AV COMODORO PY      ;13
46;AV BOYACA           ;1024;AV DE MAYO          ;AV DERQUI           ;12
47;AV BOYACA           ;3638;AV DE LA RABIDA     ;AV CURAPALIGUE      ;5
48;AV COSTANERA INT HER;4517;AV ALVAREZ JONTE BAJ;AV DARACT           ;6
49;AV CORRIENTES       ;2013;AV CORBETA URUGUAY  ;AV CNL DIAZ         ;2
50;AV CNL CARDENAS     ;3241;AV CABILDO          ;AV BRUIX            ;4
51;AV DE LOS INCAS     ;70;AV COBO             ;AV COSTANERA INT HER;11
52;AV DEL CAMPO        ;1681;AV CHORROARIN       ;AV ALVAREZ JONTE BAJ;10
53;AV DE MAYO          ;9;AV ALVEAR           ;AV ALVAREZ THOMAS   ;3
54;AV CALLAO           ;1093;AV COLOMBIA         ;AV COMODORO PY      ;14
55;AV AVELLANEDA       ;1377;AV CHORROARIN       ;AV COSTANERA INT HER;13
56;AV CALLAO           ;3169;AV 9 DE JULIO       ;AV CDORO MARTIN RIVA;10
57;AV BOEDO            ;1940;AV CURAPALIGUE      ;AV DARACT           ;5
58;AV COMODORO PY      ;4954;AV BOYACA           ;AV CHORROARIN       ;11
59;AV CNL NICETO VEGA  ;4772;AV CNL NICETO VEGA  ;AV COMODORO PY      ;14
60;AV BELGRANO         ;2678;AV ALBARELLOS       ;AV CORBETA URUGUAY  ;11
61;AV CORRIENTES       ;2834;AV ALVAREZ JONTE BAJ;AV DEL BARCO CENTENE;11
62;AV DE LOS CORRALES  ;1421;AV CABILDO          ;AV CHORROARIN       ;12
63;AV ALVAREZ JONTE BAJ;2865;AV DARACT           ;AV ALVAREZ THOMAS   ;13
64;AV DE LOS INMIGRANTE;3767;AV BOYACA           ;AV ADOLFO BERRO     ;13
65;AV ARGENTINA        ;1973;AV CORRIENTES       ;AV ADOLFO BERRO     ;11
66;AV ALMTE BROWN      ;2696;AV CASEROS          ;AV CHICLANA         ;12
67;AV DEL LIBERTADOR   ;2212;AV 9 DE JULIO       ;AV CDORO MARTIN RIVA;6
68;AV COBO             ;2161;AV DEL CAMPO        ;AV ALVEAR           ;14
69;AV CANONIGO MIGUEL C;3449;AV CARLOS J FINLAY  ;AV ASAMBLEA         ;14
70;AV CRISOLOGO LARRALD;1589;AV ALMTE BROWN      ;AV ALBARELLOS       ;14
71;AV CASEROS          ;2889;AV CNL NICETO VEGA  ;AV CANONIGO MIGUEL C;10
72;AV ALVEAR           ;3844;AV DEL CAMPO        ;AV CRISOLOGO LARRALD;13
73;AV CDORO MARTIN RIVA;1125;AV COMODORO PY      ;AV ADOLFO BERRO     ;10
74;AV 27 DE FEBRERO    ;53;AV CNL NICETO VEGA  ;AV CARABOBO         ;8
75;AV CNL DIAZ         ;344;AV CORBETA URUGUAY  ;AV CORRIENTES       ;3
76;AV DERQUI           ;394;AV AMANCIO ALCORTA  ;AV DE LOS INCAS     ;9
77;AV COLOMBIA         ;4679;AV CHICLANA         ;AV DE LOS CORRALES  ;12
78;AV DARACT           ;1909;AV DE LAS CABALLERIZ;AV ASAMBLEA         ;12
79;AV DEL BARCO CENTENE;2258;AV COSTANERA INT HER;AV CABILDO          ;9
80;AV CASARES          ;2068;AV DIRECTORIO       ;AV 9 DE JULIO       ;1
81;AV ASTURIAS         ;2752;AV COBO             ;AV BELGRANO         ;10
82;AV DE LOS INMIGRANTE;797;AV CALLAO           ;AV AVELLANEDA       ;8
83;AV 27 DE FEBRERO    ;2877;AV CANONIGO MIGUEL C;AV ALBARELLOS       ;13
84;AV CABILDO          ;3138;AV DERQUI           ;AV CNL NICETO VEGA  ;6
85;AV CARLOS J FINLAY  ;3222;AV ALBARELLOS       ;AV DE LOS INMIGRANTE;7
86;AV BOYACA           ;1156;AV DE LOS INCAS     ;AV CASEROS          ;3
87;AV 27 DE FEBRERO    ;685;AV CABILDO          ;AV AVELLANEDA       ;6
88;AV ADOLFO BERRO     ;2456;AV CHICLANA         ;AV CHICLANA         ;3
89;AV DE LOS INMIGRANTE;736;AV COMODORO PY      ;AV CNL DIAZ         ;5
90;AV DIAZ VELEZ       ;1742;AV DEL BARCO CENTENE;AV DEL FOMENTISTA   ;10
91;AV CALLAO           ;915;AV CARLOS J FINLAY  ;AV 9 DE JULIO       ;2
92;AV CORDOBA          ;592;AV 27 DE FEBRERO    ;AV DERQUI           ;10
93;AV CNL ROCA         ;3697;AV ALVEAR           ;AV DIAZ VELEZ       ;11
94;AV DEL BARCO CENTENE;1992;AV CNL DIAZ         ;AV DEL LIBERTADOR   ;7
95;AV DIAZ VELEZ       ;240;AV BOEDO            ;AV 27 DE FEBRERO    ;4
96;AV DE LOS CORRALES  ;2517;AV DE LOS CORRALES  ;AV ALVAREZ JONTE    ;7
97;AV ASAMBLEA         ;4112;AV ALVAREZ THOMAS   ;AV DARACT           ;6
98;AV CORDOBA          ;60;AV DIAZ VELEZ       ;AV DE LAS CABALLERIZ;2
99;AV CARABOBO         ;124;AV DE LOS ITALIANOS ;AV DE LOS ITALIANOS ;4
100;AV CHORROARIN       ;3533;AV CHICLANA         ;AV DE LOS CONSTITUYE;7
101;AV AVELLANEDA       ;4505;AV ARGENTINA        ;AV ALMAFUERTE       ;8
102;AV CARLOS J FINLAY  ;3633;AV DE LOS ITALIANOS ;AV CORDOBA          ;13
103;AV CALLAO           ;989;AV ASTURIAS         ;AV DE LA RABIDA     ;12
104;AV CARLOS J FINLAY  ;4345;AV ALMTE BROWN      ;AV COMODORO PY      ;11
105;AV CASEROS          ;1898;AV BRUIX            ;AV DERQUI           ;11
106;AV CNL DIAZ         ;4751;AV DE LAS CABALLERIZ;AV ALVAREZ THOMAS   ;4
107;AV DE LOS CONSTITUYE;4988;AV COMODORO PY      ;AV CORDOBA          ;9
108;AV DEL FOMENTISTA   ;4615;AV CNL ROCA         ;AV CRISOLOGO LARRALD;10
109;AV CHORROARIN       ;240;AV DEL FOMENTISTA   ;AV COMODORO PY      ;10
110;AV DERQUI           ;4303;AV DEL CAMPO        ;AV BOYACA           ;1
111;AV DE LAS CABALLERIZ;4868;AV DE LOS CORRALES  ;AV CORBETA URUGUAY  ;13
112;AV ALMAFUERTE       ;2900;AV CHICLANA         ;AV 9 DE JULIO       ;4
113;AV 9 DE JULIO       ;755;AV DEL FOMENTISTA   ;AV CALLAO           ;4
114;AV CALLAO           ;2820;AV CALLAO           ;AV CARLOS J FINLAY  ;6
115;AV CNL DIAZ         ;2656;AV DEL BARCO CENTENE;AV ALVEAR           ;11
116;AV CHICLANA         ;2004;AV ALVAREZ THOMAS   ;AV ALVAREZ JONTE BAJ;9
117;AV DEL CAMPO        ;1633;AV DE LOS CONSTITUYE;AV DEL LIBERTADOR   ;12
118;AV DE LOS CONSTITUYE;3107;AV DE LOS CORRALES  ;AV COMODORO PY      ;12
119;AV CHICLANA         ;1326;AV CANONIGO MIGUEL C;AV CHORROARIN       ;9
120;AV ALVAREZ THOMAS   ;2854;AV DE LOS INMIGRANTE;AV COLOMBIA         ;2
121;AV ALMTE BROWN      ;4719;AV CNL CARDENAS     ;AV DIAZ VELEZ       ;11
122;AV ADOLFO BERRO     ;4089;AV COBO             ;AV DIAZ VELEZ       ;14
123;AV DARACT           ;4056;AV DEL CAMPO        ;AV CASEROS          ;11
124;AV CASARES          ;2612;AV COSTANERA INT HER;AV 9 DE JULIO       ;6
125;AV CURAPALIGUE      ;345;AV CASEROS          ;AV ARGENTINA        ;1
126;AV CNL NICETO VEGA  ;90;AV ALVAREZ JONTE    ;AV COSTANERA INT HER;4
127;AV BELGRANO         ;2570;AV DE LAS CABALLERIZ;AV DERQUI           ;5
128;AV CARABOBO         ;612;AV DE LOS INMIGRANTE;AV DE LOS CONSTITUYE;9
129;AV CARLOS J FINLAY  ;1169;AV CORBETA URUGUAY  ;AV DIRECTORIO       ;7
130;AV DE LOS CONSTITUYE;2870;AV COSTANERA RAFAEL ;AV CHICLANA         ;12
131;AV CASEROS          ;4769;AV CNL ROCA         ;AV ASTURIAS         ;1
132;AV CANONIGO MIGUEL C;1419;AV DEL CAMPO        ;AV BOEDO            ;7
133;AV COSTANERA INT HER;686;AV CORBETA URUGUAY  ;AV CDORO MARTIN RIVA;3
134;AV DIAZ VELEZ       ;707;AV DE LOS INMIGRANTE;AV CNL ROCA         ;4
135;AV ARGENTINA        ;3685;AV COMODORO PY      ;AV ADOLFO BERRO     ;9
136;AV ADOLFO BERRO     ;1441;AV CARABOBO         ;AV CRISOLOGO LARRALD;11
137;AV DE LOS ITALIANOS ;2497;AV CASARES          ;AV DE LOS ITALIANOS ;14
138;AV BOEDO            ;483;AV CORDOBA          ;AV CNL CARDENAS     ;8
139;AV DE LOS CORRALES  ;915;AV COSTANERA INT HER;AV DE LOS INMIGRANTE;11
140;AV DIRECTORIO       ;3648;AV CABILDO          ;AV BRUIX            ;14
