idsuperheroe;idcivil
43;99
14;1942
162;2420
155;368
430;2420
490;2420
388;1300
59;855
185;1383
71;2328
482;2420
492;376
38;368
319;396
51;2420
344;1383
405;1300
118;368
461;1910
299;368
1;1829
447;1942
251;1300
221;1829
121;99
253;1156
35;817
37;1300
56;1942
54;1383
267;396
485;1910
69;376
124;368
224;376
258;1689
451;99
182;1156
194;368
417;99
271;99
344;396
317;104
232;855
264;368
357;1689
270;2328
75;1942
280;1829
215;376
184;1829
54;2328
243;817
381;368
440;1910
268;1383
399;99
74;2420
13;675
257;1910
441;292
297;2328
343;1829
137;817
254;1942
346;1942
359;675
15;1942
133;1689
281;1689
348;855
231;1689
344;1156
439;1383
205;1689
478;1300
255;376
266;1334
111;817
430;1300
428;104
427;99
488;1300
125;1334
5;2328
148;2420
213;1689
369;2420
77;1942
313;855
262;2328
271;1910
464;368
429;368
307;2420
397;855
4;1942
498;396
482;99
307;99
0;55
