nroplaca;idincidente
195;769
119;996
638;15
227;412
409;46
835;627
938;401
941;119
967;228
724;513
981;296
853;867
429;399
664;670
890;745
320;305
376;40
996;942
584;100
672;203
527;980
889;929
453;14
783;807
893;604
755;181
454;870
307;670
297;107
902;134
735;699
32;578
85;392
827;338
930;281
583;833
610;837
351;114
20;186
663;926
541;761
436;579
723;558
652;488
34;602
380;216
491;770
678;462
464;688
538;992
390;313
990;126
375;171
924;444
664;565
367;702
487;395
88;569
440;282
807;410
625;969
332;157
351;17
273;282
865;859
235;654
338;454
7;560
792;391
398;545
280;891
613;334
140;504
733;597
622;149
825;132
488;847
106;865
744;87
401;543
90;642
52;764
886;383
818;756
798;158
957;124
822;145
595;619
911;616
530;249
890;514
74;637
218;533
987;586
941;852
693;967
702;142
961;133
602;445
469;307
941;28
107;665
249;798
549;601
952;910
926;890
23;486
303;119
885;315
886;226
835;396
869;284
95;87
891;678
146;825
880;901
959;505
674;164
725;806
617;352
839;237
933;420
937;346
499;466
620;209
214;939
673;362
832;141
605;646
510;908
327;477
429;850
133;819
894;299
428;411
80;128
432;893
760;294
225;300
129;205
196;857
843;891
237;539
841;813
303;304
889;721
139;941
935;641
146;84
929;530
422;759
718;181
342;661
604;800
256;73
230;134
716;237
458;916
807;868
842;4
227;277
659;200
410;22
503;139
569;635
998;368
4;148
293;804
997;60
149;121
938;750
655;384
970;603
333;71
76;737
533;594
572;204
609;48
847;817
446;954
364;902
625;234
271;863
99;960
142;519
299;193
807;230
883;342
277;459
578;609
96;554
935;778
488;526
551;228
114;971
903;856
787;150
896;873
71;888
787;924
994;122
190;933
403;310
12;36
602;576
615;696
23;418
649;888
720;332
585;866
549;297
420;10
23;606
45;105
763;24
842;228
782;503
438;258
700;599
883;777
60;732
945;656
463;561
972;535
920;459
564;125
424;254
898;723
305;957
873;390
940;601
929;286
63;373
433;154
275;526
702;890
616;306
796;818
520;679
761;12
968;266
375;390
251;290
404;300
180;930
951;637
153;610
735;570
270;141
95;317
28;640
101;267
331;859
952;33
760;28
502;318
341;364
461;155
815;806
42;877
948;827
220;968
796;978
652;694
20;84
598;921
883;590
342;849
508;399
318;61
991;152
99;539
385;585
691;882
66;342
726;674
163;707
982;641
859;349
58;690
76;249
784;584
638;563
402;302
250;545
622;670
852;468
721;193
231;987
811;797
626;406
569;942
112;132
258;886
532;278
75;627
486;599
431;641
502;678
894;518
441;425
917;231
543;209
451;317
118;133
579;345
403;959
627;931
192;294
94;202
908;413
950;744
993;925
708;131
900;664
323;528
261;225
787;23
319;737
884;938
712;408
123;196
789;761
71;484
157;501
464;986
16;649
379;889
871;716
500;697
399;185
44;799
542;540
948;811
768;735
555;708
605;304
145;670
52;6
184;750
890;901
531;525
145;782
454;841
469;255
712;38
608;289
342;492
79;342
642;535
554;486
893;554
404;119
199;7
440;61
795;374
551;582
588;997
180;8
856;133
844;943
39;463
101;895
310;79
144;58
969;764
993;956
798;405
22;623
372;786
696;353
200;518
603;60
475;868
984;779
915;282
49;470
186;204
1;706
838;832
236;21
780;432
594;328
721;943
990;915
899;577
225;459
779;156
495;934
232;697
341;126
32;351
34;301
817;727
644;455
642;242
434;144
501;741
944;526
422;450
818;900
93;825
838;809
660;995
366;427
967;79
137;198
313;381
502;787
625;494
283;516
969;348
51;858
426;272
282;839
83;427
478;782
575;736
387;18
574;616
216;654
495;291
3;407
767;491
768;782
235;542
693;912
965;546
772;485
414;46
265;790
326;416
805;143
545;780
365;513
229;537
628;438
193;982
915;288
428;38
450;533
655;487
833;136
165;138
923;223
222;315
247;50
707;353
991;927
727;328
168;218
203;72
44;366
876;718
299;636
460;101
904;923
646;533
728;443
430;416
677;26
440;382
305;797
422;216
781;858
268;757
602;391
305;680
600;278
289;422
390;897
438;501
274;524
814;967
518;789
898;49
727;811
47;803
615;484
262;645
475;293
917;92
388;191
614;104
525;847
399;824
278;401
429;906
543;124
984;329
920;951
549;815
509;23
108;62
533;133
8;612
2;106
153;828
807;935
793;608
